EmpID,Training Date,Training Program Name,Training Type,Training Outcome,Location,Trainer,Training Duration(Days),Training Cost,Training Duration(hours)
1001,21-Sep-22,Customer Service,Internal,Failed,Port Greg,Amanda Daniels,4,510.83,32
1002,19-Jul-23,Leadership Development,Internal,Failed,Brandonview,Brittany Chambers,2,582.37,16
1003,24-Feb-23,Technical Skills,Internal,Incomplete,Port Briannahaven,Mark Roberson,4,777.06,32
1004,12-Jan-23,Customer Service,Internal,Completed,Knightborough,Richard Fisher,2,824.3,16
1005,12-May-23,Communication Skills,External,Passed,Bruceshire,Heather Shaffer,4,145.99,32
1006,08-May-23,Project Management,Internal,Failed,Erinfort,Michael Duke,2,838.07,16
1007,14-May-23,Leadership Development,External,Failed,New Christopher,Virginia Clayton DVM,2,667.32,16
1008,02-Aug-23,Technical Skills,External,Incomplete,Lowemouth,Erica Maxwell,2,758.18,16
1009,21-Aug-22,Customer Service,Internal,Incomplete,Johnland,Katelyn Hartman,2,101.21,16
1010,19-Aug-22,Communication Skills,External,Incomplete,Lake Kimfurt,Rhonda Clark,5,332.25,40
1011,06-Nov-22,Communication Skills,Internal,Completed,Smithshire,Natalie Fields,1,803.98,8
1012,28-Mar-23,Technical Skills,External,Failed,Howardburgh,Theresa Martinez,3,887.08,24
1013,08-Apr-23,Project Management,External,Incomplete,East Jessicatown,Michael Marks,2,657.85,16
1014,21-Feb-23,Customer Service,External,Incomplete,Watersview,Rachel Jones,2,895.49,16
1015,13-May-23,Leadership Development,External,Passed,Port Ninaland,Jennifer Olson,1,539,8
1016,30-Apr-23,Communication Skills,External,Completed,Lake Stuartfurt,Eric Johnson,2,606.68,16
1017,14-Nov-22,Technical Skills,External,Passed,Cooleybury,Joseph Mcintyre,3,265.73,24
1018,25-Mar-23,Project Management,Internal,Incomplete,Larsonborough,Whitney Morgan DVM,2,673.29,16
1019,26-Oct-22,Project Management,External,Passed,Powellland,Jon Garcia,5,436.98,40
1020,30-Dec-22,Technical Skills,External,Passed,Chadport,Nicole Taylor,4,578.58,32
1021,10-Mar-23,Technical Skills,Internal,Failed,Patrickhaven,Crystal Nelson,1,647.16,8
1022,12-Jan-23,Project Management,Internal,Failed,Lindseyburgh,Kevin Nichols,1,664.23,8
1023,19-Oct-22,Project Management,Internal,Failed,West Justinborough,Angela Good,4,893.07,32
1024,11-Oct-22,Project Management,External,Completed,Hullmouth,Keith Curtis,5,868.98,40
1025,13-Jan-23,Project Management,Internal,Incomplete,Thompsonbury,Nina Rodriguez,5,761.95,40
1026,17-Apr-23,Communication Skills,External,Incomplete,Cynthiachester,Jennifer Robinson,4,431.57,32
1027,16-Mar-23,Communication Skills,External,Incomplete,East Jackstad,Mr. Robert Byrd MD,4,357.57,32
1028,19-Jan-23,Technical Skills,Internal,Incomplete,East Christopher,Gina Moore,3,804.06,24
1029,25-Feb-23,Project Management,Internal,Failed,Lake Anthonyton,Christopher Rowland,5,729.41,40
1030,04-Jan-23,Communication Skills,Internal,Completed,Longton,Wendy Gibson,1,169.46,8
1031,26-Dec-22,Communication Skills,Internal,Failed,New Williamland,Ashley Gonzalez,1,833.28,8
1032,07-Dec-22,Technical Skills,External,Completed,New Jackie,Cynthia Bradley,3,482.23,24
1033,20-Jun-23,Communication Skills,Internal,Incomplete,Smithshire,William Smith,4,169.85,32
1034,10-Nov-22,Leadership Development,Internal,Failed,Lake Anthony,Cynthia Brown,1,570.62,8
1035,11-Mar-23,Communication Skills,Internal,Completed,New Nancy,Joseph Mendoza,2,724.14,16
1036,10-Dec-22,Customer Service,External,Failed,Michaelmouth,Laura Gonzalez,3,305.98,24
1037,25-Oct-22,Leadership Development,Internal,Failed,North Stephanie,Alexandra Hall,2,646.76,16
1038,28-Jul-23,Customer Service,External,Failed,Jamesland,Eric Davis,2,516.89,16
1039,24-Jan-23,Customer Service,External,Passed,East Williamport,Heather Silva,5,520.41,40
1040,01-Dec-22,Technical Skills,Internal,Completed,Robertsmouth,Robert Johnson,5,712.84,40
1041,07-Mar-23,Customer Service,Internal,Completed,Reesefurt,Taylor Baker,3,871.12,24
1042,05-Oct-22,Project Management,Internal,Passed,New Jesusfort,Brian Maynard,1,228.11,8
1043,10-Aug-22,Communication Skills,External,Completed,West Danielside,Todd Mason,2,289.93,16
1044,13-Sep-22,Technical Skills,External,Incomplete,Smithborough,Stephanie Navarro,4,920.78,32
1045,11-Jun-23,Customer Service,External,Completed,West Josephport,Jay Wilkins,2,690.41,16
1046,28-Jul-23,Leadership Development,Internal,Failed,Lake Jose,Jason Morgan,2,211.39,16
1047,27-Nov-22,Project Management,Internal,Passed,Smithland,James Phelps,2,606.63,16
1048,02-Dec-22,Leadership Development,Internal,Completed,Powelltown,Ronald Rivera,5,503.99,40
1049,20-Nov-22,Leadership Development,Internal,Completed,Gonzalezfort,Dr. Patricia Johnson,2,518.54,16
1050,03-Aug-23,Customer Service,Internal,Completed,Samanthaport,James Reed,1,846.43,8
1051,13-Oct-22,Leadership Development,Internal,Passed,Hardingfort,Mark Morgan,3,572.94,24
1052,25-Oct-22,Communication Skills,Internal,Incomplete,Larryview,Robin Becker,4,234.76,32
1053,19-Dec-22,Communication Skills,External,Passed,Valdezfort,Erika Roberts,4,704.7,32
1054,04-Nov-22,Technical Skills,External,Failed,Tammyfurt,Cynthia Porter,3,533.97,24
1055,15-Nov-22,Customer Service,Internal,Passed,West Robert,Anna Petty,2,125.7,16
1056,16-Feb-23,Leadership Development,Internal,Completed,South Julieville,Julie Cole,2,442.06,16
1057,23-Oct-22,Project Management,Internal,Failed,East Amanda,Andrew Herrera,4,649.23,32
1058,01-Apr-23,Project Management,External,Incomplete,South Jesusport,Amanda Christian,1,855.67,8
1059,16-Sep-22,Technical Skills,Internal,Incomplete,Brianville,Victoria Vasquez,3,256.82,24
1060,06-Sep-22,Project Management,Internal,Completed,East Andres,Cindy Schultz,1,770.84,8
1061,01-Aug-23,Project Management,Internal,Incomplete,Paigefurt,Nathan Mitchell,2,862.33,16
1062,27-Nov-22,Technical Skills,Internal,Failed,Carolinemouth,Taylor Barron,5,702.84,40
1063,15-Oct-22,Technical Skills,Internal,Completed,Onealland,Eric Harris,1,523.82,8
1064,06-Oct-22,Leadership Development,External,Passed,South Charlene,Jacqueline Barton,1,819.86,8
1065,09-Dec-22,Technical Skills,External,Passed,East Leah,Kara Frazier MD,4,486.01,32
1066,14-Jun-23,Communication Skills,Internal,Completed,Brandonberg,Travis Knox,5,769.42,40
1067,24-Jun-23,Project Management,External,Completed,Toddtown,Joseph Long,5,857.65,40
1068,06-Nov-22,Communication Skills,External,Completed,Richardmouth,Ashley Wright,1,238.27,8
1069,22-Aug-22,Communication Skills,Internal,Failed,South Angelaview,Brandi Petersen,5,886.06,40
1070,14-Jan-23,Technical Skills,Internal,Failed,Robertside,Zachary Wilson,1,943.8,8
1071,16-Mar-23,Communication Skills,Internal,Completed,Johnport,Amanda Medina,5,234.26,40
1072,19-May-23,Technical Skills,Internal,Passed,Mendozamouth,Melissa Campos,5,179.91,40
1073,03-Oct-22,Project Management,Internal,Failed,Ivanburgh,Ryan Hunter,4,306.3,32
1074,07-Jul-23,Project Management,Internal,Passed,Davisberg,Ashley Garrett,5,103.42,40
1075,16-May-23,Project Management,Internal,Passed,East Darryl,Ronald Ortiz,4,573.29,32
1076,07-Nov-22,Technical Skills,External,Incomplete,Jamieville,Becky Hebert,4,619.61,32
1077,21-Dec-22,Project Management,Internal,Incomplete,West Brookechester,Joshua Kirk,1,947.17,8
1078,24-Mar-23,Project Management,External,Passed,Villanuevaborough,Patrick Bryant,1,597.64,8
1079,15-Apr-23,Communication Skills,External,Incomplete,North Jon,Maria Jones,5,861.1,40
1080,22-Apr-23,Customer Service,External,Passed,Mcleanburgh,Sandra Joseph,4,199.14,32
1081,05-Jun-23,Communication Skills,External,Failed,Brandonview,Samuel Wilson,3,526.08,24
1082,22-Apr-23,Customer Service,External,Incomplete,New Colinfort,Angela Colon,5,662.15,40
1083,18-Nov-22,Project Management,External,Completed,North Brandy,Molly Hughes,4,869.89,32
1084,17-Dec-22,Leadership Development,External,Completed,West Jessicatown,Morgan Thomas,3,295.4,24
1085,01-Nov-22,Customer Service,External,Passed,East Katherinetown,Bradley Petersen,5,993.13,40
1086,15-Jul-23,Leadership Development,External,Completed,East Robertside,Patrick Andrews,2,641.69,16
1087,10-May-23,Technical Skills,Internal,Incomplete,Heatherview,Ryan Crawford,5,197.34,40
1088,17-May-23,Leadership Development,External,Failed,North Elizabeth,Keith Richardson,2,235.15,16
1089,27-May-23,Technical Skills,Internal,Passed,North Amanda,Jasmin Walker,2,697.28,16
1090,21-Mar-23,Communication Skills,External,Completed,Wrightton,Tracy Sanchez,1,910.33,8
1091,20-Oct-22,Customer Service,Internal,Incomplete,Port Patricia,Jennifer Bailey,2,213.91,16
1092,20-Sep-22,Communication Skills,Internal,Completed,Wilkinsfurt,Heather Gutierrez,5,971.46,40
1093,07-Jul-23,Customer Service,External,Failed,West Matthew,George Burns,5,995.52,40
1094,18-Aug-22,Communication Skills,Internal,Failed,South Joshuatown,Richard Mckee,4,161.4,32
1095,17-Aug-22,Customer Service,Internal,Passed,New Kimberly,Jeremy Schneider,4,715.87,32
1096,25-Sep-22,Technical Skills,External,Incomplete,Alexandriachester,Adam Robinson,5,778.25,40
1097,11-Aug-22,Customer Service,Internal,Completed,Port Danielmouth,Ryan Bradley,1,609.5,8
